SYSTEM,STATION NAME,ROSS 1051,ROSS 1015,MAGEC,MELIAE,Economy,Allegiance,Government,x,y,z,
26 Draconis,?,,,20.618,32.83,Service,Independent,Colony,-38.71,24.75,-0.644,
Acihaut,Cuffey Plant,,,26.555,24.389,Refinery,Federation,Democracy,,,,
Aganippe,Julian Market,,,22.975,15.588,Agriculture,Independent,Corporate,,,,
Asellus Primus,Beagle 2 Landing,,,19.643,10.906,High Tech,Independent,Corporate,,,,
Aulin,Aulin Enterprise,,,17.364,18.188,High Tech,Federation,Corporate,-19.5,32.5,4.72,http://www.stellar-database.com/Scripts/search_star.exe?ID=104100
Aulis,Dezhurov Gateway,,,32.547,11.15,Agriculture,Federation,Democracy,,,,
BD+47 2112,Olivas Settlement,,,24.241,16.311,Extraction,Federation,Colony,-14.8,33.5,-0.11,http://www.stellar-database.com/Scripts/search_star.exe?ID=197900
BD+55 1519,-,,,36.842,15.668,None,None,None,,,,
Bolg,Moxon's Mojo,,,28.362,17.956,Industrial,Federation,Democracy,-7.86,34.6,2.13,http://www.stellar-database.com/Scripts/search_star.exe?ID=94100
Chi Herculis,Gorbatko Reserve,,,4.96,22.05,Agriculture,Federation,Democracy,-39.63,12.77,30.67,
CM Draco,Anderson Escape,,,14.601,26.422,Extraction,None,Anarchy,,,,
Dahan,Dahan Gateway,,,23.51,8.262,Refinery,Federation,Colony,,,,
DN Draconis,-,,,21.476,29.674,None,None,None,-22.3,0.82,28,
DP Draconis,-,,,32.595,25.477,None,None,None,,,,
Eranin,Azeban City,,,19.474,14.137,Agriculture,Independent,Communism,-23.18,37.12,-1.191,http://www.stellar-database.com/Scripts/search_star.exe?ID=100900
G 239-25,Bresnik Mine,,,26.515,24.829,Extraction,Federation,Colony,,,,
GD 319,-,,,32.188,12.709,None,None,None,,,,
h Draconis,Brislington,,,21.648,30.188,Industrial,Independent,Corporate,-39.39,29.24,-3.845,http://www.stellar-database.com/Scripts/search_star.exe?ID=117400
Hermitage,-,,,12.927,29.658,None,None,None,,,,
i Bootis,Chango Dock,,,15.628,16.544,Industrial,Federation,Democracy,-22.4,34.9,4.02,http://www.stellar-database.com/Scripts/search_star.exe?ID=200200
Ithaca,Hume Depot,,,36.129,12.797,Extraction,Independent,Dictatorship,,,,
Keries,?,,,16.836,26.539,Extraction,None,Anarchy,,,,
Lalande 29917,-,,,25.273,29.028,None,None,None,,,,
LFT 1361,-,,,20.535,32.833,None,None,None,-38.8,24.7,-0.49,
LFT 880,Baker Platform,,,35.626,25.223,Refinery,Independent,Corporate,,,,
LFT 992,Szulkin Mines,,,30.026,12.2,Extraction,None,Anarchy,-749,42.3,0.71,http://www.stellar-database.com/Scripts/search_star.exe?ID=195700
LHS 2819,Tasaki Freeport,,,29.134,20.791,Extraction,None,Anarchy,,,,
LHS 2884,Abnett Platform,,,21.367,5.939,Extraction,Independent,Corporate,,,,
LHS 2887,Massimino Dock,j,,28.903,25.919,Extraction,Federation,Colony,,,,
LHS 3006,Wcm Transfer Orbital,,,21.571,20.961,Extraction,Federation,Colony,,,,
LHS 3262,Louis De Lacaille Prospect,,,22.102,32.119,High Tech,Federation,Democracy,,,,
LHS 417,Gernhardt Camp,,,25.44,32.045,Extraction,Federation,Colony,,,,
LHS 5287,?,,,20.55,19.162,Extraction,Federation,Colony,,,,
LHS 6309,-,,,3.713,27.621,None,None,None,,,,
LP 271-25,-,,,24.242,20.992,None,None,None,-31.9,7.34,10.5,http://www.stellar-database.com/Scripts/search_star.exe?ID=99700
LP 275-68,-,,,14.629,30.329,None,None,None,,,,
LP 64-194,Longyear Survey,,,33.874,23.016,Extraction,Independent,Corporate,,,,
LP 98-132,Freeport,,,21.016,15.948,Extraction,None,Anarchy,,,,
Magec,h,,,0,26.767,Agriculture,Federation,Democracy,,,,
Meliae,-,,,26.767,0,Agriculture,Independent,Democracy,,,,
Morgor,Romanek's Folly,,,25.241,10.226,Extraction,None,Anarchy,,,,
Nang Ta-khian,Hay Point,,,28,23.453,Industrial,Independent,Corporate,,,,
Naraka,Novitski Oasis,,,23.293,28.98,Agriculture,Federation,Democracy,,,,
Opala,Romanenko Estate,,,9.689,19.781,Agriculture,Federation,Democracy,-25.5,35.3,9.29,http://www.stellar-database.com/Scripts/search_star.exe?ID=201400
Ovid,Bradfield Orbital,,,4.963,24.381,Industrial,Federation,Democracy,,,,
Pi-fang,Brooks Estate,,,24.169,31.961,Agriculture,Independent,Corporate,,,,
Rakapila,Stone Enterprise,,,19.233,19.383,Industrial,Federation,Democracy,,,,
Ross 1015,Bowersox Mines,,,30.289,23.466,Extraction,Federation,Colony,,,,
Ross 1051,Abetti Platform,,,22.612,20.808,Refinery,Federation,Colony,,,,
Ross 1057,Wang Estate,,,29.668,29.757,Agriculture,Federation,Democracy,,,,
Styx,-,,,12.865,15.728,None,None,None,,,,Not found
Surya,Burbank Camp,,,11.948,24.569,Extraction,Federation,Corporate,,,,
Tilian,?,,,18.687,29.97,Industrial,Federation,Democracy,,,,
Wise 1647+5632,-,,,25.618,32.283,None,None,None,,,,
Wyrd,Vonarburg Co-Operative,,,29.168,19.011,Agriculture,Independent,Communism,-11.6,31.5,-3.91,http://www.stellar-database.com/Scripts/search_star.exe?ID=195800
Sol,,,,51.267,52.497,Service,Federation,Democracy,0,0,0,
Wolf 359,,,,50.348,47.993,Industrial,Independent,Corporate,3.902,6.478,-1.896,
Wolf 1061,,,,44.438,49.233,Industrial,Federation,Democracy,-0.829,5.451,12.77,
Procyon,,,,57.097,52.983,None,None,None,6.22,2.674,-9.179,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,Dist. to Magec,Dist to Meliae,x,y,z,,,,,,,
Sol,51.267,52.497,0,0,0,,,,,,,
Wolf 359,50.348,47.993,-3.902,6.478,-1.896,,,,,,,
Wolf 1061,44.438,49.233,0.829,5.451,12.77,,,,,,,
Procyon,57.097,52.983,-6.22,2.674,-9.179,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
